City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
53,Iquique,CL,2022-04-25 19:41:46,-20.2208,-70.1431,68.04,75,100,8.12
54,Bosobolo,CD,2022-04-25 19:45:48,4.1833,19.9,73.54,85,86,2.19
55,Hilo,US,2022-04-25 19:45:41,19.7297,-155.09,78.24,90,75,8.05
56,Portland,US,2022-04-25 19:43:42,45.5234,-122.6762,59.18,80,100,4.61
57,Nizhniy Tsasuchey,RU,2022-04-25 19:45:49,50.5167,115.1333,37.15,41,100,19.93
58,East London,ZA,2022-04-25 19:44:02,-33.0153,27.9116,62.62,73,12,15.48
59,Serekunda,GM,2022-04-25 19:45:49,13.4383,-16.6781,86.14,45,0,10.36
60,Garissa,KE,2022-04-25 19:45:50,-0.4536,39.6401,83.32,65,97,15.12
61,Castro,BR,2022-04-25 19:45:50,-24.7911,-50.0119,71.89,68,0,3.49
62,Mataura,NZ,2022-04-25 19:43:55,-46.1927,168.8643,51.48,81,65,6.78
63,Mar Del Plata,AR,2022-04-25 19:40:50,-38.0023,-57.5575,64.42,68,0,11.01
64,Saldanha,ZA,2022-04-25 19:45:51,-33.0117,17.9442,55.45,77,0,16.26
65,Puerto Ayora,EC,2022-04-25 19:44:05,-0.7393,-90.3518,76.96,77,80,11.97
66,Vila Velha,BR,2022-04-25 19:41:14,-20.3297,-40.2925,80.55,76,75,14.0
67,Clyde River,CA,2022-04-25 19:41:17,70.4692,-68.5914,8.83,92,100,21.85
68,Rawson,AR,2022-04-25 19:40:53,-43.3002,-65.1023,63.97,29,100,16.78
69,Busselton,AU,2022-04-25 19:43:56,-33.65,115.3333,62.01,65,100,17.58
70,Parana,AR,2022-04-25 19:45:52,-31.732,-60.5238,81.55,71,88,6.58
71,Upernavik,GL,2022-04-25 19:43:44,72.7868,-56.1549,19.9,87,29,2.64
72,Mahibadhoo,MV,2022-04-25 19:45:53,3.7833,72.9667,84.36,67,20,2.28
73,Husavik,IS,2022-04-25 19:45:53,66.0449,-17.3389,42.15,76,63,3.8
74,Nikolskoye,RU,2022-04-25 19:45:54,59.7035,30.7861,41.72,97,100,4.9
75,La Palma,US,2022-04-25 19:45:54,33.8464,-118.0467,92.5,19,20,11.5
76,Monroe,US,2022-04-25 19:44:34,43.1501,-77.6831,79.43,65,100,10.36
77,Coahuayana,MX,2022-04-25 19:45:54,18.7333,-103.6833,88.25,39,8,8.14
78,Barrow,US,2022-04-25 19:43:42,71.2906,-156.7887,12.22,79,100,11.5
79,Hermanus,ZA,2022-04-25 19:45:55,-34.4187,19.2345,51.8,71,0,5.37
80,Oranjemund,NA,2022-04-25 19:45:55,-28.55,16.4333,57.07,74,0,18.05
81,Ormara,PK,2022-04-25 19:45:56,25.2088,64.6357,81.77,82,0,15.48
82,Labrea,BR,2022-04-25 19:45:56,-7.2586,-64.7981,89.56,57,39,5.08
83,Airai,TL,2022-04-25 19:45:57,-8.9266,125.4092,57.34,76,44,1.01
84,Haapiti,PF,2022-04-25 19:45:57,-17.5667,-149.8667,83.93,72,2,8.25
85,Tinskoy,RU,2022-04-25 19:45:57,56.1525,96.9161,24.71,95,73,3.38
86,Nome,US,2022-04-25 19:43:01,64.5011,-165.4064,32.16,93,100,4.61
87,Hasaki,JP,2022-04-25 19:45:46,35.7333,140.8333,61.29,89,100,7.81
88,Saint George,US,2022-04-25 19:42:54,37.1041,-113.5841,75.63,13,0,4.0
89,Nizwa,OM,2022-04-25 19:44:22,22.9333,57.5333,82.49,26,3,4.54
90,Tuktoyaktuk,CA,2022-04-25 19:45:58,69.4541,-133.0374,17.6,79,20,5.75
91,Port Hedland,AU,2022-04-25 19:46:59,-20.3167,118.5667,71.65,94,23,6.91
92,Rosetta,EG,2022-04-25 19:46:59,31.4044,30.4164,63.88,78,18,8.5
93,Karratha,AU,2022-04-25 19:47:00,-20.7377,116.8463,75.6,72,76,7.83
94,Lasa,IT,2022-04-25 19:47:00,46.6166,10.7002,50.88,99,100,1.5
95,Mitu,CO,2022-04-25 19:47:00,1.1983,-70.1733,83.08,77,98,2.91
96,Bull Savanna,JM,2022-04-25 19:47:01,17.8868,-77.5902,80.67,66,43,14.43
97,San Patricio,US,2022-04-25 19:47:01,28.017,-97.5169,88.52,53,92,17.43
98,Teeli,RU,2022-04-25 19:47:02,51.0333,90.2333,34.32,36,100,3.29
99,Dzhebariki-Khaya,RU,2022-04-25 19:47:02,62.2167,135.8,19.74,98,100,1.5
100,Dikson,RU,2022-04-25 19:43:59,73.5069,80.5464,4.41,100,100,2.71
101,La Esperanza,GT,2022-04-25 19:47:03,14.8667,-91.5667,67.62,66,75,9.22
102,Cabo San Lucas,MX,2022-04-25 19:44:42,22.8909,-109.9124,83.61,64,16,4.0
103,Bernay,FR,2022-04-25 19:47:03,49.1667,0.6667,49.06,81,0,1.99
104,Nabire,ID,2022-04-25 19:45:39,-3.3667,135.4833,76.37,92,55,2.71
105,Port Macquarie,AU,2022-04-25 19:42:35,-31.4333,152.9167,57.88,80,100,1.32
106,Lagos,NG,2022-04-25 19:42:06,6.5833,3.75,84.52,86,8,4.72
107,Alice Springs,AU,2022-04-25 19:47:04,-23.7,133.8833,51.35,100,71,0.0
108,Dunedin,NZ,2022-04-25 19:47:05,-45.8742,170.5036,50.81,61,19,15.01
109,Segezha,RU,2022-04-25 19:47:05,63.7415,34.3222,33.98,90,100,2.68
110,Sungai Besar,MY,2022-04-25 19:47:06,3.6746,100.9867,76.59,93,96,5.19
111,Ibadan,NG,2022-04-25 19:47:06,7.3878,3.8964,76.89,94,40,5.75
112,Qaqortoq,GL,2022-04-25 19:47:06,60.7167,-46.0333,38.35,81,82,2.57
113,Ossora,RU,2022-04-25 19:47:07,59.2353,163.0719,28.26,93,100,9.75
114,Emerald,AU,2022-04-25 19:47:07,-23.5333,148.1667,62.74,100,100,12.66
115,Baiyin,CN,2022-04-25 19:47:07,36.5583,104.2081,58.86,29,80,2.95
116,Tuatapere,NZ,2022-04-25 19:47:08,-46.1333,167.6833,41.92,88,29,5.57
117,Tres Lagoas,BR,2022-04-25 19:47:08,-20.7511,-51.6783,91.45,34,100,7.25
118,Itaituba,BR,2022-04-25 19:46:45,-4.2761,-55.9836,80.76,83,40,11.5
119,Mount Gambier,AU,2022-04-25 19:47:09,-37.8333,140.7667,53.51,87,40,5.75
120,Fairbanks,US,2022-04-25 19:47:10,64.8378,-147.7164,47.23,57,20,4.61
121,Adrar,MR,2022-04-25 19:47:10,20.5022,-10.0711,80.37,24,0,10.54
122,Ahipara,NZ,2022-04-25 19:47:10,-35.1667,173.1667,60.76,82,25,6.62
123,Maceio,BR,2022-04-25 19:44:21,-9.6658,-35.7353,83.64,69,75,13.8
124,Cabedelo,BR,2022-04-25 19:47:11,-6.9811,-34.8339,84.87,83,60,12.46
125,Chuy,UY,2022-04-25 19:47:11,-33.6971,-53.4616,65.52,97,100,6.24
126,Cajati,BR,2022-04-25 19:47:12,-24.7361,-48.1228,76.6,78,0,3.69
127,Mahebourg,MU,2022-04-25 19:43:58,-20.4081,57.7,75.49,78,40,11.5
128,Palana,RU,2022-04-25 19:47:12,59.1167,159.9667,25.45,88,99,10.07
129,Saskylakh,RU,2022-04-25 19:47:13,71.9167,114.0833,-7.4,100,100,3.83
130,Mersing,MY,2022-04-25 19:47:13,2.4312,103.8405,75.11,100,20,3.44
131,Harper,LR,2022-04-25 19:47:13,4.375,-7.7169,80.11,80,100,6.13
132,Sao Filipe,CV,2022-04-25 19:47:14,14.8961,-24.4956,76.64,64,4,11.03
133,Bredasdorp,ZA,2022-04-25 19:47:14,-34.5322,20.0403,55.33,73,0,2.44
134,Hamilton,US,2022-04-25 19:46:28,39.1834,-84.5333,70.57,89,100,19.57
135,Tigil,RU,2022-04-25 19:47:15,57.8,158.6667,28.72,92,100,3.4
136,Praia Da Vitoria,PT,2022-04-25 19:48:15,38.7333,-27.0667,62.85,72,20,13.02
137,Progreso,MX,2022-04-25 19:48:15,21.2833,-89.6667,97.11,68,0,20.74
138,Hami,CN,2022-04-25 19:48:16,42.8,93.45,63.16,29,100,27.63
139,Spring Hill,US,2022-04-25 19:48:16,28.4769,-82.5255,88.07,52,20,5.01
140,Longyearbyen,SJ,2022-04-25 19:48:17,78.2186,15.6401,3.04,60,75,13.8
141,Pangnirtung,CA,2022-04-25 19:48:17,66.1451,-65.7125,26.6,80,100,18.41
142,Casa Nova,BR,2022-04-25 19:48:18,-9.4167,-41.1333,86.34,45,35,22.53
143,Linxia,CN,2022-04-25 19:48:18,35.6003,103.2064,54.52,46,100,2.28
144,Poum,NC,2022-04-25 19:48:19,-20.2333,164.0167,74.28,66,100,10.27
145,Dzhida,RU,2022-04-25 19:48:19,50.6772,106.1806,22.71,50,9,3.36
146,Esperance,AU,2022-04-25 19:48:19,-33.8667,121.9,69.64,41,100,25.75
147,Berlevag,NO,2022-04-25 19:48:20,70.8578,29.0864,28.35,74,20,11.5
148,Praya,CV,2022-04-25 19:48:20,14.9215,-23.5087,79.34,44,0,23.02
149,Salalah,OM,2022-04-25 19:48:21,17.0151,54.0924,82.49,69,0,3.44
150,Talnakh,RU,2022-04-25 19:48:21,69.4865,88.3972,1.2,98,100,4.54
151,Kavaratti,IN,2022-04-25 19:48:22,10.5669,72.642,84.52,76,41,5.84
152,Fortuna,US,2022-04-25 19:48:22,40.5982,-124.1573,59.94,84,100,8.05
153,Kuytun,RU,2022-04-25 19:48:22,54.3419,101.5036,25.59,76,81,4.79
154,Torbay,CA,2022-04-25 19:48:23,47.6666,-52.7314,40.87,95,100,17.27
155,Ribeira Grande,PT,2022-04-25 19:48:23,38.5167,-28.7,61.2,67,20,10.36
156,Saint-Philippe,RE,2022-04-25 19:48:24,-21.3585,55.7679,74.79,80,87,15.7
157,Georgetown,MY,2022-04-25 19:48:24,5.4112,100.3354,80.53,93,20,5.01
158,Kabanjahe,ID,2022-04-25 19:47:04,3.1001,98.4908,64.4,96,100,1.77
159,Yulara,AU,2022-04-25 19:48:24,-25.2406,130.9889,58.84,82,100,4.61
160,The Pas,CA,2022-04-25 19:43:57,53.8251,-101.2541,24.82,39,0,6.91
161,Katsuura,JP,2022-04-25 19:48:25,35.1333,140.3,66.04,91,100,4.94
162,Piranhas,BR,2022-04-25 19:48:26,-16.4269,-51.8222,88.09,53,6,4.41
163,Cape Canaveral,US,2022-04-25 19:48:26,28.4058,-80.6048,84.06,59,0,10.36
164,Acapulco,MX,2022-04-25 19:45:38,16.8634,-99.8901,87.12,51,7,11.27
165,Lokoja,NG,2022-04-25 19:48:26,7.8024,6.743,85.66,61,60,4.99
166,Carutapera,BR,2022-04-25 19:48:27,-1.195,-46.02,81.34,80,51,8.01
167,Antalaha,MG,2022-04-25 19:48:27,-14.9003,50.2788,73.63,86,25,6.82
168,Haines Junction,CA,2022-04-25 19:48:28,60.7522,-137.5108,42.75,49,94,2.3
169,Tukrah,LY,2022-04-25 19:48:28,32.5341,20.5791,64.04,61,98,16.93
170,Hunchun,CN,2022-04-25 19:48:28,42.8675,130.3581,46.22,90,44,1.45
171,Methoni,GR,2022-04-25 19:48:29,36.8197,21.7049,67.21,76,100,11.54
172,Neryungri,RU,2022-04-25 19:48:29,56.6709,124.6491,5.58,96,92,2.82
173,Nadym,RU,2022-04-25 19:48:30,65.5333,72.5167,11.61,97,37,7.05
174,Kashan,IR,2022-04-25 19:48:30,33.9831,51.4364,71.19,40,0,0.0
175,Armidale,AU,2022-04-25 19:48:30,-30.5167,151.65,46.54,97,100,5.73
176,Arraial Do Cabo,BR,2022-04-25 19:47:11,-22.9661,-42.0278,78.66,65,20,12.66
177,Bandarbeyla,SO,2022-04-25 19:48:31,9.4942,50.8122,81.93,72,99,6.29
178,Bagdarin,RU,2022-04-25 19:48:31,54.4333,113.6,23.9,61,99,6.17
179,Te Anau,NZ,2022-04-25 19:48:32,-45.4167,167.7167,39.61,90,7,1.1
180,Bogdanovich,RU,2022-04-25 19:49:32,56.7803,62.0494,42.06,75,8,3.74
181,Lakhnadon,IN,2022-04-25 19:49:33,22.6,79.6,86.76,14,0,4.25
182,Pevek,RU,2022-04-25 19:49:33,69.7008,170.3133,13.62,82,100,1.77
183,Half Moon Bay,US,2022-04-25 19:49:34,37.4636,-122.4286,77.92,62,0,17.27
184,Lompoc,US,2022-04-25 19:49:34,34.6391,-120.4579,87.78,57,0,16.11
185,San Quintin,MX,2022-04-25 19:49:35,30.4833,-115.95,75.51,30,0,10.56
186,Kalaleh,IR,2022-04-25 19:49:35,37.3807,55.4916,59.36,69,100,1.88
187,Bintulu,MY,2022-04-25 19:49:36,3.1667,113.0333,75.61,94,20,3.44
188,North Battleford,CA,2022-04-25 19:49:36,52.7834,-108.2847,53.4,34,20,23.02
189,Yar-Sale,RU,2022-04-25 19:49:37,66.8333,70.8333,18.7,97,71,7.9
190,Beringovskiy,RU,2022-04-25 19:49:37,63.05,179.3167,28.24,96,100,25.52
191,Daru,PG,2022-04-25 19:49:38,-9.0763,143.2092,78.96,84,58,2.24
192,Shingu,JP,2022-04-25 19:49:35,33.7333,135.9833,64.27,92,100,0.83
193,Grand-Santi,GF,2022-04-25 19:49:38,4.25,-54.3833,80.1,94,77,3.27
194,Ancud,CL,2022-04-25 19:46:55,-41.8697,-73.8203,53.22,91,100,30.98
195,Lagoa,PT,2022-04-25 19:49:39,39.05,-27.9833,57.88,71,20,13.38
196,San Roque,ES,2022-04-25 19:49:39,36.2107,-5.3842,61.63,77,100,6.91
197,Tateyama,JP,2022-04-25 19:49:39,34.9833,139.8667,65.1,90,100,5.55
198,Souillac,MU,2022-04-25 19:49:40,-20.5167,57.5167,75.58,78,40,11.5
199,Broome,US,2022-04-25 19:49:40,42.2506,-75.833,74.66,48,100,10.0
200,Pacific Grove,US,2022-04-25 19:49:41,36.6177,-121.9166,70.25,75,20,7.0
201,Barreirinhas,BR,2022-04-25 19:49:41,-2.7469,-42.8264,80.94,82,49,8.77
202,Iskateley,RU,2022-04-25 19:49:41,67.6803,53.1512,28.2,98,98,8.57
203,Richmond,US,2022-04-25 19:44:58,37.5538,-77.4603,88.2,51,75,8.05
204,Bela,IN,2022-04-25 19:49:42,25.9333,81.9833,87.93,14,0,5.64
205,Morondava,MG,2022-04-25 19:49:42,-20.2833,44.2833,82.08,76,86,8.01
206,Fonte Boa,BR,2022-04-25 19:49:43,-2.4959,-66.2662,83.34,90,83,2.86
207,Unguia,CO,2022-04-25 19:49:43,8.0434,-77.0945,89.62,68,86,0.4
208,Xichang,CN,2022-04-25 19:49:44,27.8964,102.2634,59.29,88,19,3.8
209,Hay River,CA,2022-04-25 19:49:44,60.8156,-115.7999,48.18,43,75,12.66
210,Buraydah,SA,2022-04-25 19:49:45,26.326,43.975,75.65,33,18,7.74
211,Abonnema,NG,2022-04-25 19:49:45,4.7084,6.7931,80.06,83,78,6.73
212,Kruisfontein,ZA,2022-04-25 19:49:45,-34.0033,24.7314,55.89,85,2,6.62
213,Kodiak,US,2022-04-25 19:49:46,57.79,-152.4072,44.11,53,75,9.22
214,Shahrud,IR,2022-04-25 19:49:46,36.4182,54.9763,69.46,37,93,7.96
215,Riyadh,SA,2022-04-25 19:48:48,24.6877,46.7219,73.54,42,100,21.27
216,Sola,VU,2022-04-25 19:49:47,-13.8833,167.55,79.59,79,88,12.84
217,Pilar,BR,2022-04-25 19:49:47,-9.5972,-35.9567,82.33,77,19,6.89
218,Rawalpindi,PK,2022-04-25 19:49:48,33.6007,73.0679,77.23,43,5,1.01
219,Shizuishan,CN,2022-04-25 19:49:48,39.2333,106.7694,47.86,14,0,17.07
220,Bereda,ES,2022-04-25 19:49:49,43.2686,-7.5406,47.95,93,27,1.54
221,Juneau,US,2022-04-25 19:49:49,58.3019,-134.4197,48.22,91,75,5.75
222,Myitkyina,MM,2022-04-25 19:49:50,25.3833,97.4,71.13,53,1,3.0
223,Zhuhai,CN,2022-04-25 19:49:50,22.2769,113.5678,80.85,94,40,4.61
224,Esmeraldas,BR,2022-04-25 19:45:03,-19.7625,-44.3139,81.64,46,78,7.72
225,Tenosique,MX,2022-04-25 19:50:51,17.4833,-91.4333,94.89,40,17,9.73
226,Gazojak,TM,2022-04-25 19:50:51,41.1875,61.4036,68.14,35,100,9.53
227,Raudeberg,NO,2022-04-25 19:50:51,61.9875,5.1352,45.27,83,15,23.0
228,Khatanga,RU,2022-04-25 19:50:52,71.9667,102.5,-12.37,100,100,4.41
229,Takoradi,GH,2022-04-25 19:47:23,4.8845,-1.7554,80.71,87,14,6.31
230,Palmer,US,2022-04-25 19:45:55,42.1584,-72.3287,68.77,23,75,13.8
231,Grand Gaube,MU,2022-04-25 19:48:37,-20.0064,57.6608,75.6,78,57,5.99
232,La Ronge,CA,2022-04-25 19:50:52,55.1001,-105.2842,34.02,29,0,14.97
233,Santa Cruz Das Palmeiras,BR,2022-04-25 19:50:53,-21.8269,-47.2486,85.33,51,20,6.91
234,Olafsvik,IS,2022-04-25 19:50:53,64.8945,-23.7142,45.07,72,98,5.12
235,Lebu,CL,2022-04-25 19:46:16,-37.6167,-73.65,55.98,73,100,22.95
236,Bilina,CZ,2022-04-25 19:50:54,50.5485,13.7754,46.6,93,11,2.26
237,Punta De Bombon,PE,2022-04-25 19:50:54,-17.1717,-71.7931,69.01,76,100,7.43
238,Belaya Gora,RU,2022-04-25 19:50:55,68.5333,146.4167,1.44,99,83,1.97
239,La Baneza,ES,2022-04-25 19:50:55,42.3003,-5.8977,58.64,54,84,4.47
240,Mastic Beach,US,2022-04-25 19:50:55,40.7668,-72.8521,60.98,39,75,10.36
241,Narsaq,GL,2022-04-25 19:50:56,60.9167,-46.05,39.78,78,90,0.02
242,Los Llanos De Aridane,ES,2022-04-25 19:50:56,28.6585,-17.9182,65.95,78,40,8.05
243,Severodvinsk,RU,2022-04-25 19:50:57,64.5635,39.8302,39.11,96,100,6.11
244,Doha,QA,2022-04-25 19:47:40,25.2867,51.5333,84.18,42,94,19.57
245,New Norfolk,AU,2022-04-25 19:50:57,-42.7826,147.0587,50.88,87,90,2.37
246,Faya,SA,2022-04-25 19:50:57,18.3851,42.4509,64.51,52,0,5.68
247,Suntar,RU,2022-04-25 19:50:58,62.1444,117.6319,22.62,96,93,2.82
248,Oriximina,BR,2022-04-25 19:49:22,-1.7656,-55.8661,83.07,81,15,2.75
249,Anloga,GH,2022-04-25 19:49:51,5.7947,0.8973,82.99,78,3,8.41
250,Sabang,ID,2022-04-25 19:50:58,5.8933,95.3214,82.27,78,100,18.28
251,Kavieng,PG,2022-04-25 19:50:59,-2.5744,150.7967,81.09,78,92,10.78
252,Toktogul,KG,2022-04-25 19:50:59,41.8708,72.9402,55.29,68,48,2.68
253,Charlestown,AU,2022-04-25 19:50:38,-32.95,151.6667,61.74,95,100,1.48
254,Kushmurun,KZ,2022-04-25 19:51:00,52.4503,64.6311,49.96,44,24,11.68
255,Hualmay,PE,2022-04-25 19:51:00,-11.0964,-77.6139,70.52,77,100,10.18
256,Iqaluit,CA,2022-04-25 19:51:00,63.7506,-68.5145,4.73,78,100,28.77
257,Murray Bridge,AU,2022-04-25 19:51:01,-35.1167,139.2667,64.13,78,100,5.39
258,Chegutu,ZW,2022-04-25 19:51:01,-18.1302,30.1407,66.27,74,89,5.3
259,San Felipe,VE,2022-04-25 19:51:02,10.3399,-68.7425,78.75,81,100,7.05
260,Belmonte,BR,2022-04-25 19:51:02,-15.8631,-38.8828,80.56,75,3,10.31
261,Pisco,PE,2022-04-25 19:51:02,-13.7,-76.2167,70.02,77,0,8.05
262,Balkhash,KZ,2022-04-25 19:51:03,46.844,74.9804,42.55,57,0,7.0
263,Kropotkin,RU,2022-04-25 19:51:03,45.4375,40.5756,60.24,66,99,8.41
264,Kaeo,NZ,2022-04-25 19:51:04,-35.1,173.7833,55.33,96,49,4.36
265,Rawah,IQ,2022-04-25 19:51:04,34.4816,41.9093,75.31,30,98,5.1
266,Kuantan,MY,2022-04-25 19:51:05,3.8077,103.326,78.91,88,20,0.0
267,Nemuro,JP,2022-04-25 19:47:25,43.3236,145.575,39.11,87,6,6.51
268,Petropavlovsk-Kamchatskiy,RU,2022-04-25 19:51:05,53.0452,158.6483,32.59,75,75,2.24
269,Ketchikan,US,2022-04-25 19:51:06,55.3422,-131.6461,46.87,76,100,9.22
270,Kyabram,AU,2022-04-25 19:51:06,-36.3167,145.05,55.87,72,87,8.79
271,Lumsden,CA,2022-04-25 19:51:07,50.6501,-104.8678,43.02,44,26,9.57
272,Rocha,UY,2022-04-25 19:52:07,-34.4833,-54.3333,66.09,96,100,4.61
273,Yakeshi,CN,2022-04-25 19:52:07,49.2833,120.7333,30.87,90,100,22.26
274,Worland,US,2022-04-25 19:52:08,44.0169,-107.9554,59.61,32,0,5.75
275,Keetmanshoop,NA,2022-04-25 19:52:08,-26.5833,18.1333,54.52,26,0,4.61
276,Bojonegoro,ID,2022-04-25 19:52:09,-7.1502,111.8817,76.21,92,98,1.77
277,Mutata,CO,2022-04-25 19:52:09,7.2441,-76.4356,80.89,89,100,0.98
278,Yarmouth,US,2022-04-25 19:52:09,41.7057,-70.2286,58.98,62,0,11.01
279,Avera,US,2022-04-25 19:52:10,33.194,-82.5271,86.56,47,55,8.86
280,Teya,RU,2022-04-25 19:52:10,60.3778,92.6267,30.78,96,100,8.81
281,Touros,BR,2022-04-25 19:52:11,-5.1989,-35.4608,80.71,77,27,12.57
282,Shimoda,JP,2022-04-25 19:47:14,34.6667,138.95,64.11,91,100,1.16
283,Ende,ID,2022-04-25 19:52:11,-8.8432,121.6623,75.7,76,100,2.17
284,Jalostotitlan,MX,2022-04-25 19:52:11,21.2,-102.4667,87.66,9,0,5.37
285,Svetlaya,RU,2022-04-25 19:52:12,46.5389,138.3297,35.13,83,100,16.51
286,Kalawit,PH,2022-04-25 19:52:12,8.0667,122.5167,78.01,91,97,5.41
287,Kimbe,PG,2022-04-25 19:52:13,-5.5502,150.1429,75.45,94,100,2.13
288,Port Hardy,CA,2022-04-25 19:52:13,50.6996,-127.4199,48.38,71,75,6.91
289,Tevriz,RU,2022-04-25 19:52:13,57.509,72.4042,40.78,73,100,4.76
290,Cherskiy,RU,2022-04-25 19:52:14,68.75,161.3,23.49,75,100,3.2
291,Thompson,CA,2022-04-25 19:48:44,55.7435,-97.8558,23.16,30,20,3.44
292,Bilibino,RU,2022-04-25 19:52:14,68.0546,166.4372,19.18,79,100,3.58
293,Tombouctou,ML,2022-04-25 19:52:15,20.0,-3.0,81.66,17,0,10.8
294,Komsomolskiy,UZ,2022-04-25 19:52:15,40.4272,71.7189,65.12,63,57,2.3
295,Whitianga,NZ,2022-04-25 19:52:16,-36.8333,175.7,56.34,79,1,4.03
296,Nanortalik,GL,2022-04-25 19:52:16,60.1432,-45.2371,35.28,90,98,8.57
